,Postcode,Commune,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80_84,age85_89,age90_94,age95_99,age100_and_over,Total
785,6534,Agerskov ,96,110,90,103,93,86,115,88,95,110,131,141,118,128,116,91,68,35,17,4,0,1835
786,6535,Branderup J ,34,49,44,40,27,42,32,31,42,47,46,62,48,41,24,20,9,12,2,0,1,653
787,6541,Bevtoft ,50,58,62,78,49,64,67,68,66,87,89,108,109,86,70,58,22,13,8,0,0,1212
788,6560,Sommersted ,96,115,139,111,98,126,152,119,133,130,165,189,153,114,115,103,60,18,13,1,3,2153
789,6580,Vamdrup ,406,402,450,491,281,345,443,421,408,578,529,571,493,427,357,359,217,138,44,13,2,7375
790,6600,Vejen ,888,864,1029,1023,649,790,920,907,969,1073,1097,1156,1002,839,800,846,509,276,90,33,2,15762
791,6621,Gesten ,69,77,97,67,50,59,95,73,112,105,85,108,78,61,75,67,21,10,7,1,1,1318
792,6622,Bække ,89,106,107,106,87,95,98,103,127,124,139,143,106,88,87,68,40,18,10,5,1,1747
793,6623,Vorbasse ,98,116,118,128,87,112,114,129,149,132,147,203,146,128,87,91,57,30,14,2,0,2088
794,6630,Rødding ,511,582,661,654,484,474,502,557,619,677,665,722,693,654,545,490,350,235,102,14,3,10194
795,6640,Lunderskov ,256,291,365,312,163,217,298,297,345,358,331,351,268,211,184,174,104,71,35,9,2,4642
796,6650,Brørup ,320,341,384,445,304,302,421,369,436,426,469,441,406,393,370,319,228,140,57,10,1,6582
797,6660,Lintrup ,28,42,43,41,35,53,42,33,41,57,59,70,43,31,25,28,9,4,0,1,0,685
798,6670,Holsted ,187,203,208,240,186,219,228,218,255,252,231,278,259,243,203,172,136,75,27,6,0,3826
799,6682,Hovborg ,33,26,35,21,26,23,48,35,27,31,31,42,43,41,28,27,21,14,4,0,0,556
800,6683,Føvling ,69,55,56,56,52,61,56,49,64,72,79,79,74,72,44,39,25,17,2,0,0,1021
801,6690,Gørding ,146,130,153,164,129,157,163,140,119,162,178,196,169,155,124,96,59,46,14,3,0,2503
802,6700,Esbjerg ,1101,1044,1120,1574,3431,3267,2113,1505,1473,1654,1907,2111,1793,1704,1357,1195,788,452,172,47,4,29812
803,6705,Esbjerg Ø ,796,772,761,820,909,933,962,824,757,839,972,1065,950,853,716,724,394,218,84,13,3,14365
804,6710,Esbjerg V ,1504,1595,1608,1443,608,784,1463,1484,1438,1559,1563,1757,1596,1505,1426,1469,866,355,102,23,2,24150
805,6715,Esbjerg N ,577,677,767,708,404,578,634,654,745,814,735,805,757,677,684,661,382,179,74,17,2,11531
